Depth,Qc,Fc,u
7.36,0.846,0.0059,0.4127
7.37,0.83,0.0056,0.418
7.38,0.823,0.0053,0.4182
7.39,0.823,0.0053,0.4195
7.4,0.822,0.0053,0.4209
7.41,0.822,0.0053,0.4226
7.42,0.822,0.0054,0.4259
7.43,0.823,0.0054,0.4296
7.44,0.827,0.0056,0.4306
7.45,0.846,0.0057,0.4321
7.46,0.85,0.0057,0.4325
7.47,0.861,0.0058,0.4385
7.48,0.877,0.0059,0.4408
7.49,0.884,0.0059,0.4443
7.5,0.886,0.0059,0.4426
7.51,0.888,0.0059,0.4429
7.52,0.884,0.0059,0.4428
7.53,0.873,0.006,0.4429
7.54,0.865,0.006,0.4431
7.55,0.853,0.006,0.4433
7.56,0.85,0.006,0.4398
7.57,0.85,0.0061,0.4397
7.58,0.851,0.0061,0.4401
7.59,0.853,0.0072,0.4404
7.6,0.861,0.0076,0.4412
7.61,0.88,0.0076,0.4466
7.62,0.93,0.0076,0.4602
7.63,0.957,0.0076,0.4639
7.64,0.942,0.0074,0.4608
