File Name,depth_input,vs_input,Depth,Qc,Fs,u,A07-H,A07-P,R09,Mc15,Mc18
SCPT_57346.csv,3,131,3,14.6871,0.0443,-0.0746,-0.288022794,-0.484733088,-0.452392134,-0.038859662,-0.607117887
SCPT_57346.csv,3.5,140,3.5,11.6604,0.0881,-0.0564,-0.319513363,-0.516223658,-0.520736724,-0.03909891,-0.667338625
SCPT_57346.csv,4,140,4,23.8492,0.0244,-0.0433,-0.192064705,-0.388775,-0.350342609,-0.072697332,-0.539511532
SCPT_57346.csv,4.5,134,4.5,14.9857,0.0254,-0.0375,-0.253657573,-0.450367867,-0.367346069,-0.085667206,-0.614896406
SCPT_57346.csv,5,148,5,11.7326,0.0171,0.0178,-0.123471274,-0.320181568,-0.211141339,0.052496131,-0.488931985
SCPT_57346.csv,5.5,152,5.5,12.7083,0.1096,0.0448,-0.330374615,-0.52708491,-0.478797646,-0.113029142,-0.728477013
SCPT_57346.csv,6,151,6,19.9613,0.0426,0.0481,-0.229488485,-0.426198779,-0.348214571,-0.130407161,-0.637585167
SCPT_57346.csv,6.5,128,6.5,26.9856,0.0363,-0.0302,-0.373639286,-0.57034958,-0.529322367,-0.348042727,-0.804511957
SCPT_57346.csv,7,130,7,15.0829,0.0939,-0.021,-0.506425101,-0.703135395,-0.61228084,-0.348253996,-0.927005843
SCPT_57346.csv,7.5,157,7.5,14.2529,0.1389,0.0325,-0.380719226,-0.57742952,-0.494369314,-0.203068559,-0.806228937
SCPT_57346.csv,8,160,8,13.1144,0.1117,0.0533,-0.330801459,-0.527511753,-0.423206607,-0.172005509,-0.774681246
SCPT_57346.csv,8.5,186,8.5,12.0889,0.1151,0.0723,-0.184918912,-0.381629206,-0.268099666,-0.029050079,-0.642741884
SCPT_57346.csv,9,173,9,13.9848,0.0454,0.0656,-0.146735036,-0.34344533,-0.200754148,-0.061159595,-0.609798502
SCPT_57346.csv,9.5,183,9.5,20.5314,0.0448,0.0286,-0.100586281,-0.297296575,-0.191772847,-0.074185248,-0.568394919
SCPT_57346.csv,10,155,10,15.842,0.0252,0.0465,-0.207247915,-0.403958209,-0.262886535,-0.169412724,-0.670717068
SCPT_57346.csv,10.5,173,10.5,18.4696,0.0306,0.0857,-0.124127378,-0.320837672,-0.195908301,-0.111323316,-0.599570399
SCPT_57346.csv,11,176.5,11,21.7985,0.0443,0.0979,-0.151894624,-0.348604918,-0.241290242,-0.15879829,-0.640634979
